Default Report
Last Modified: 2023-02-06 09:53:57 MST


Q1 - Which departments are you affiliated with? (multiple select)
#,Answer,%,Count
1,News,24.00%,24
2,Opinion,18.00%,18
3,Photo,21.00%,21
4,Recess,15.00%,15
5,Sports,22.00%,22
6,Other,0.00%,0
,Total,100%,100

Q2 - Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,1.00,2.00,1.10,0.30,0.09,92

#,Answer,%,Count
1,Trinity,90.22%,83
2,Pratt,9.78%,9
,Total,100%,92

Q3 - How would you best describe yourself? (multiple select)
#,Answer,%,Count
1,Asian,39.05%,41
2,Black or African American,9.52%,10
3,Indigenous American or Alaskan Native,0.95%,1
4,Hispanic/Latinx,6.67%,7
5,Native Hawaiian or Pacific Islander,0.00%,0
6,White,43.81%,46
7,Other,0.00%,0
,Total,100%,105

Q4 - What is your gender?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your gender?,2.00,5.00,2.40,0.55,0.31,92

#,Answer,%,Count
1,Non-binary / Gender queer,0.00%,0
2,Female,61.96%,57
3,Male,36.96%,34
4,Other,0.00%,0
5,Prefer not to say,1.09%,1
,Total,100%,92

Q5 - Do you identify with the gender you were assigned at birth?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you identify with the gender you were assigned at birth?,1.00,2.00,1.02,0.15,0.02,89

#,Answer,%,Count
1,Yes,97.75%,87
2,No,2.25%,2
,Total,100%,89

Q6 - What is your sexual orientation?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your sexual orientation?,1.00,8.00,2.58,1.44,2.07,90

#,Answer,%,Count
1,Gay / Lesbian,5.56%,5
2,Heterosexual,65.56%,59
3,Bisexual,17.78%,16
4,Asexual,3.33%,3
5,Pansexual,1.11%,1
6,Questioning,1.11%,1
7,Other,2.22%,2
8,Prefer not to say,3.33%,3
,Total,100%,90

Q7 - Are you a first-generation student?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you a first-generation student?,1.00,2.00,1.93,0.25,0.06,90

#,Answer,%,Count
1,Yes,6.67%,6
2,No,93.33%,84
3,Prefer not to say,0.00%,0
,Total,100%,90

Q8 - Are you a recruited varsity athlete?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you a recruited varsity athlete?,1.00,2.00,1.99,0.10,0.01,90

#,Answer,%,Count
1,Yes,1.11%,1
2,No,98.89%,89
,Total,100%,90

Q9 - Are you an international student?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you an international student?,1.00,2.00,1.92,0.27,0.07,90

#,Answer,%,Count
1,Yes,7.78%,7
2,No,92.22%,83
,Total,100%,90

Q10 - Do you receive financial aid from Duke?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you receive financial aid from Duke?,1.00,2.00,1.57,0.50,0.25,90

#,Answer,%,Count
1,Yes,43.33%,39
2,No,56.67%,51
,Total,100%,90

Q11 - How many semesters have you been in The Chronicle for (including this semester)?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many semesters have you been in The Chronicle for (including this semester)?,1.00,9.00,3.82,1.97,3.88,90

#,Answer,%,Count
1,1,1.11%,1
2,2 (joined Fall 2022),42.22%,38
3,3,0.00%,0
4,4,27.78%,25
5,5,6.67%,6
6,6,13.33%,12
7,7,0.00%,0
8,8,7.78%,7
9,9+,1.11%,1
,Total,100%,90

"Q12 - For the following questions, consider all semesters you've been in The Chronicle:"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,I feel valued as a member of The Chronicle,2.00,5.00,4.24,0.88,0.78,87
2,I have grown and improved in my role throughout my time at The Chronicle,3.00,5.00,4.66,0.50,0.25,87
3,I have made meaningful friendships through The Chronicle,1.00,5.00,3.89,1.03,1.07,87

#,Question,Strongly Disagree,,Somewhat disagree,,Neither agree nor disagree,,Somewhat agree,,Strongly agree,,Total
1,I feel valued as a member of The Chronicle,0.00%,0,8.05%,7,5.75%,5,40.23%,35,45.98%,40,87
2,I have grown and improved in my role throughout my time at The Chronicle,0.00%,0,0.00%,0,1.15%,1,32.18%,28,66.67%,58,87
3,I have made meaningful friendships through The Chronicle,4.60%,4,3.45%,3,21.84%,19,39.08%,34,31.03%,27,87

"Q13 - For the following questions, consider The Chronicle as a whole:"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The Chronicle (as a whole) values and actively seeks to promote diversity through its policies and practices,1.00,5.00,4.12,0.93,0.87,86
2,The Chronicle (as a whole) has a working environment in which different views and perspectives are valued,1.00,5.00,4.30,0.95,0.91,86
3,"All staff are treated with respect at The Chronicle (as a whole), regardless of level of experience",2.00,5.00,4.43,0.83,0.69,86
4,"I believe The Chronicle (as a whole) is a safe and supportive environment for BIPOC individuals (Black, Indigenous, &amp; People of Color)",2.00,5.00,4.31,0.85,0.73,86
5,I believe The Chronicle (as a whole) is a safe and supportive environment for womxn and gender minorities,3.00,5.00,4.69,0.53,0.29,86
6,I believe The Chronicle (as a whole) is a safe and supportive environment for LGBQ+ individuals,3.00,5.00,4.57,0.66,0.43,86
7,"The Chronicle feels interdepartmentally “cohesive” (connected, united, whole)",1.00,5.00,2.97,1.38,1.89,86

#,Question,Strongly Disagree,,Somewhat disagree,,Neither agree nor disagree,,Somewhat agree,,Strongly agree,,Total
1,The Chronicle (as a whole) values and actively seeks to promote diversity through its policies and practices,1.16%,1,4.65%,4,17.44%,15,34.88%,30,41.86%,36,86
2,The Chronicle (as a whole) has a working environment in which different views and perspectives are valued,1.16%,1,4.65%,4,13.95%,12,23.26%,20,56.98%,49,86
3,"All staff are treated with respect at The Chronicle (as a whole), regardless of level of experience",0.00%,0,4.65%,4,8.14%,7,26.74%,23,60.47%,52,86
